 filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
 raincodeData/Delivery/V1\ALCB018.COB;1523;0.203248239;0.3396;1.670.863.185
 raincodeData/Delivery/V1\ALCB025.COB;1205;0.119450319;0.3154;2.640.428.277
 raincodeData/Delivery/V1\ALCB044.COB;7678;1.031.361.389;0.5681;0.550825352
 raincodeData/Delivery/V1\ALCB073.COB;1291;0.149949872;0.32225;2.149.051.518
 raincodeData/Delivery/V1\ALCB087.COB;12592;1.608.142.662;0.54085;0.336319664
 raincodeData/Delivery/V1\ALCB096.COB;2446;0.265700698;0.2999;1.128.713.633
 raincodeData/Delivery/V1\ALCB207.COB;1953;0.210691404;0.29215;1.386.625.152
 raincodeData/Delivery/V1\ALCB212.COB;1286;0.272957623;0.33585;1.230.410.773
 raincodeData/Delivery/V1\ALCB213.COB;1409;0.201200497;0.3218;1.599.399.628
 raincodeData/Delivery/V1\ALCB216.COB;1126;0.114001787;0.31815;2.790.745.728
 raincodeData/Delivery/V1\ALCB229.COB;1267;0.130900121;0.34675;264.896.623
 raincodeData/Delivery/V1\ALCB231.COB;1693;0.192331529;0.2976;1.547.328.207
 raincodeData/Delivery/V1\ALCB232.COB;1478;0.16367321;0.3469;2.119.467.199
 raincodeData/Delivery/V1\ALCB233.COB;1414;0.160763741;0.29015;1.804.822.395
 raincodeData/Delivery/V1\ALCB234.COB;1474;0.167874491;0.32465;1.933.885.238
 raincodeData/Delivery/V1\ALCB327.COB;1304;0.144455874;0.3362;2.327.354.303
 raincodeData/Delivery/V1\ALCB328.COB;1622;0.181549513;0.28455;1.567.341.026
 raincodeData/Delivery/V1\ALCB332.COB;1748;0.187007451;0.31915;1.706.616.492
 raincodeData/Delivery/V1\ALCB343.COB;9294;1.051.211.798;0.4505;0.428553029
 raincodeData/Delivery/V1\ALCB369.COB;2297;0.390299249;0.3452;0.884449562
 raincodeData/Delivery/V1\ALCB486.COB;2923;0.331111538;0.3232;0.976106124
 raincodeData/Delivery/V1\ALCB487.COB;3069;0.328103983;0.3142;0.957623242
 raincodeData/Delivery/V1\ALCB506.COB;3804;0.411056364;0.335;0.814973394
 raincodeData/Delivery/V1\ALCB517.COB;13160;2.811.765.552;0.3892;0.138418368
 raincodeData/Delivery/V1\ALCB527.COB;6463;1.073.526.943;0.3446;0.320997998
 raincodeData/Delivery/V1\ALCB528.COB;5969;0.802198577;0.30705;0.382760589
 raincodeData/Delivery/V1\ALCB530.COB;6590;0.816828227;0.3151;0.38576042
 raincodeData/Delivery/V1\ALCB541.COB;6572;0.736319375;0.3009;0.408654193
 raincodeData/Delivery/V1\ALCB576.COB;3646;0.390859258;0.33405;0.854655463
 raincodeData/Delivery/V1\ALCB581.COB;5979;0.936794949;0.33665;0.359363594
 raincodeData/Delivery/V1\ALCB582.COB;5375;0.690044153;0.35235;0.510619499
 raincodeData/Delivery/V1\ALCB583.COB;5648;0.693972385;0.35315;0.50888192
 raincodeData/Delivery/V1\ALCB584.COB;2254;0.280056477;0.33105;1.182.082.998
 raincodeData/Delivery/V1\ALCB585.COB;2873;0.371095335;0.2867;0.772577753
 raincodeData/Delivery/V1\ALCB587.COB;1228;0.126445389;0.3037;2.401.827.401
 raincodeData/Delivery/V1\ALCB611.COB;1919;0.218160927;0.3431;1.572.692.254
 raincodeData/Delivery/V1\ALCB617.COB;2069;0.240450287;0.2664;1.107.921.323
